OID_,Name,OriginID,DestinationID,DestinationRank,Total_Length,Total_Walk_NLS,Total_Walk_Tobler,Total_Walk_2D,Shape_Length
1022,49925 - 169097,1081,1,1,1505.444809976413580,20.915736801182572,20.056795813537022,20.576667661552587,
1023,49926 - 169097,1082,1,1,1557.090598735029289,22.072311056068777,21.437245667349483,21.241200718298657,
1024,49927 - 169097,1083,1,1,701.846601648208889,10.038246684362653,10.827456301105077,9.558053951301428,
1025,49928 - 169097,1084,1,1,631.489795602204595,9.110418414148338,9.831270983950628,8.590989633345869,
1026,49929 - 169097,1085,1,1,593.165122807993384,8.355073935423539,8.677384339934951,8.085319134582166,
1027,49930 - 169097,1086,1,1,1096.964015458540416,15.332348516804224,15.868280098509965,14.967507053504509,
1028,49931 - 169097,1087,1,1,591.096040262598990,8.519844288139605,9.504183427647840,8.040495434118602,
1029,49932 - 169097,1088,1,1,678.001089094639269,9.505623878769667,9.635502352880764,9.248040051872808,
1030,49933 - 169097,1089,1,1,1566.985136656414397,21.652318058053996,21.102053675975057,21.418346677486873,
1031,49934 - 169097,1090,1,1,1868.983193018451857,26.398852189866620,25.471308543643822,25.506174670863597,
1032,49935 - 169097,1091,1,1,879.584743122576583,12.166218142121448,12.334519329168049,12.009792923359671,
1033,49936 - 169097,1092,1,1,1408.957889168327029,19.466069464409397,19.164723128175371,19.255048805709375,
1034,49937 - 169097,1093,1,1,921.625860967584572,12.959482267167536,13.565911886883296,12.566546793457150,
1035,49938 - 169097,1094,1,1,1845.360694861213915,26.120519012341116,25.150427373801993,25.179902304986115,
1036,49939 - 169097,1095,1,1,406.611301598954469,6.060682858026393,7.125848559721989,5.499732475884136,
1037,49940 - 169097,1096,1,1,1233.987885778020882,17.126250570140648,17.090783064883379,16.856073713442719,
1038,49941 - 169097,1097,1,1,1205.177970592236079,16.725455714617269,16.759017339048096,16.461423684369965,
1039,49942 - 169097,1098,1,1,1774.550867102399479,24.638234529278719,23.788897498583442,24.255991686475678,
1040,49943 - 169097,1099,1,1,1414.233604852352528,19.667710119365960,19.174605911983743,19.323396830260041,
1041,49944 - 169097,1100,1,1,581.258104738443194,8.388596680529547,9.493540750595390,7.903790848688129,
1042,49945 - 169097,1101,1,1,659.238720494380459,9.323011515883586,9.440530913816609,8.987860794785144,
1043,49946 - 169097,1102,1,1,520.722838093608289,8.225681357724140,9.532909645938597,6.898936397725768,
1044,49947 - 169097,1103,1,1,718.079964887423216,9.936847904630248,10.288169986296520,9.798130818686786,
1045,49948 - 169097,1104,1,1,1372.306172658445348,20.146921509094842,20.200411612000138,18.656831440290748,
1046,49949 - 169097,1105,1,1,1772.513259378715020,25.650417944961877,25.205238321002717,24.138658914302450,
1047,49950 - 169097,1106,1,1,1702.939235252814115,23.825346647986901,22.564886297139321,23.273015840911338,
1048,49951 - 169097,1107,1,1,1630.660507083849325,22.930662231761609,21.617329784391480,22.279100769054931,
1049,49952 - 169097,1108,1,1,1076.068943903596164,14.935781274184761,14.943408550548538,14.696335005989907,
1050,49953 - 169097,1109,1,1,621.999599705387936,8.956877801451947,10.015316437514770,8.461249759515109,
1051,49954 - 169097,1110,1,1,2645.443764761292641,36.945659261762053,34.502781168398556,36.170783356744650,
1052,49955 - 169097,1111,1,1,1327.805075172279885,19.890232094745944,20.761086955815752,18.022481816761509,
1053,49956 - 169097,1112,1,1,996.044999034140119,14.363754477289824,14.555661625225529,13.541016309842190,
1054,49957 - 169097,1113,1,1,785.375554928172733,10.873341591871903,11.038633307516541,10.720953028439329,
1055,49958 - 169097,1114,1,1,1156.252536819066336,16.063051817124979,16.167544630883768,15.791051289998761,
1056,49959 - 169097,1115,1,1,1640.916577870877518,24.256730227630541,24.617083358269312,22.305200319102497,
1057,49960 - 169097,1116,1,1,782.598654672258363,11.940750460692719,12.879284335322655,10.481137489300584,
1058,49961 - 169097,1117,1,1,701.268842083140498,9.935071001974213,10.421060318225964,9.558933612101757,
1059,49962 - 169097,1118,1,1,688.053510281806098,9.730930018925410,10.301408962392063,9.378116134645117,
1060,49963 - 169097,1119,1,1,513.919654977822915,7.476680301032943,8.605421712644015,6.981735462654807,
1061,49964 - 169097,1120,1,1,1654.935942881203800,24.457155706761050,24.848714879352869,22.496481542169754,
1062,49965 - 169097,1121,1,1,775.626264284444119,10.746502317715377,10.978113620266379,10.586676029787723,
1063,49966 - 169097,1122,1,1,1053.278648227774283,14.609767855030862,14.661266443936986,14.384549517662169,
1064,49967 - 169097,1123,1,1,2100.913246805745075,29.748872330137839,28.383260798605320,28.677706577799341,
1065,49968 - 169097,1124,1,1,1411.428359031121545,20.935767969393439,21.585120598859355,19.172715095315453,
1066,49969 - 169097,1125,1,1,841.494944544065561,11.879626432979700,12.567143976311016,11.468695282876528,
1067,49970 - 169097,1126,1,1,1862.206456031365178,27.379146780116720,27.228334896106041,25.334924176719412,
1068,49971 - 169097,1127,1,1,1769.031073774308879,26.054363406774769,26.533572693197073,24.053652426512198,
1069,49972 - 169097,1128,1,1,1580.450612497286102,22.034333684155520,21.097389131860734,21.599733676859564,
1070,49973 - 169097,1129,1,1,456.405138055053897,7.797020789488773,7.009547275151184,6.156221960091474,
1071,49974 - 169097,1130,1,1,476.748891379287556,7.071912387781351,7.848103365747122,6.435262042449470,
1072,49975 - 169097,1131,1,1,3312.678409841943903,46.061673965611305,42.493026351298290,45.314980945110840,
1073,49976 - 169097,1132,1,1,531.931577973496019,10.101031487169893,10.584632083921417,7.004680223700590,
1074,49977 - 169097,1133,1,1,579.722075666501269,8.345341006084308,7.976936332308387,7.868740632812171,
1075,49978 - 169097,1134,1,1,460.664542151250885,9.341394968189675,9.488982930498093,5.976245626298637,
1076,49979 - 169097,1135,1,1,3558.251976633726827,50.102780868105356,45.581533548333454,48.649820855480264,
1077,49980 - 169097,1136,1,1,3178.813648150853624,46.683470042369166,42.276178938926144,44.542207919404305,
1078,49981 - 169097,1137,1,1,3182.043769119893568,44.294573119638585,40.922253410266443,43.523817776440566,
1079,49982 - 169097,1138,1,1,612.915528427011509,8.767833983128344,9.258860743319017,8.331994184642834,
1080,49983 - 169097,1139,1,1,161.930453097635620,2.711438739268577,2.300438443106564,2.196451370101729,
1081,49984 - 169097,1140,1,1,1034.234955427642717,17.991625300652778,17.161394302679376,13.834343226040721,
1082,49985 - 169097,1141,1,1,515.032109356850242,7.798881697506513,7.463186810800844,6.967053428986620,
1083,49986 - 169097,1142,1,1,1531.109697237470755,23.137691302833151,22.548446558346988,20.794613397647023,
1084,49987 - 169097,1143,1,1,255.221971235805398,3.973396902892413,3.893696192679609,3.463059855652866,
1085,49988 - 169097,1144,1,1,3233.960608335804409,44.969675769055478,41.585718913866081,44.236341817793999,
1086,49989 - 169097,1145,1,1,251.637403568326363,3.694314787663532,3.901676452997515,3.412145915105770,
1087,49990 - 169097,1146,1,1,489.274798446478712,7.259679641545288,7.175759089271409,6.639160542659559,
1088,49991 - 169097,1147,1,1,577.006218169574140,8.524942896753796,9.456469758145728,7.800666975472190,
1089,49992 - 169097,1148,1,1,891.907281265434449,13.591793157911749,13.643858137309387,12.087657649840994,
1090,49993 - 169097,1149,1,1,48.064139393088539,0.955385693327925,0.952087071555832,0.616700800024727,
1091,49994 - 169097,1150,1,1,508.589672166484092,7.927551308869640,9.292940462964353,6.847057773397727,
1092,49995 - 169097,1151,1,1,227.895186254277519,3.708791983356956,3.232058156069406,3.094155454072284,
1093,49996 - 169097,1152,1,1,391.137709651666341,5.852686826934561,5.767699017739311,5.301888968980365,
1094,49997 - 169097,1153,1,1,386.752291933878269,5.792723147887127,5.702210333034556,5.241918146851082,
1095,49999 - 169097,1155,1,1,3274.532965088817036,45.565449115042348,42.033406695047667,44.790997165627410,
1096,50000 - 169097,1156,1,1,3279.182848994442338,45.629152443386587,42.088830916493229,44.854717025688700,
1097,50001 - 169097,1157,1,1,4228.604360864796945,58.732548112597286,53.544896010680596,57.859208734196777,
1098,50002 - 169097,1158,1,1,254.448879146973297,4.168884107502768,3.631873396616341,3.452168395122230,
1099,50003 - 169097,1159,1,1,316.404332774960494,4.916585739266583,4.671704636871532,4.289389233315113,
1100,50004 - 169097,1160,1,1,201.986221602052126,3.095096302084920,3.653944142967391,2.712825367650526,
1101,50005 - 169097,1161,1,1,3873.904716218177782,54.550400166029718,49.499705528554536,52.964462597058706,
1102,50006 - 169097,1162,1,1,223.075333791602418,3.844387054115874,4.009401320111302,3.004500753356567,
1103,50007 - 169097,1163,1,1,268.758162764677650,4.295502000135604,3.676501691271659,3.654322918904638,
1104,50008 - 169097,1164,1,1,3478.896418022511170,48.745605489865540,44.512409244396885,47.574525441758674,
1105,50009 - 169097,1165,1,1,3487.588900730138903,48.870747698650391,44.591007003808706,47.693754910465543,
1106,50010 - 169097,1166,1,1,1415.652202599082102,21.508031214682433,21.194355751950660,19.213702098893918,
1107,50011 - 169097,1167,1,1,497.633313044975182,7.373253987426716,8.134600225913230,6.720948494966001,
1108,50012 - 169097,1168,1,1,3170.259068940650195,47.671050247607106,45.404738646360912,44.242670170274799,
1109,50014 - 169097,1169,1,1,1578.206175835440490,24.519109460375422,23.576128409980882,21.389950436363154,
