OID_,Name,OriginID,DestinationID,DestinationRank,Total_Length,Total_Walk_NLS,Total_Walk_Tobler,Total_Walk_2D,Shape_Length
2764,119526 - 169097,2894,1,1,2906.198148363660493,44.074780965279764,47.797999081766974,39.363361315189685,
2765,119527 - 169097,2895,1,1,1429.437793288319881,21.744516847980741,22.850274684972479,19.667573983975803,
2766,119528 - 169097,2896,1,1,1602.354559855720709,25.499831002715808,26.157842888597376,21.659468499901799,
2767,119529 - 169097,2897,1,1,2251.869177353572923,36.445048805511362,34.873070288858770,30.409872945777156,
2768,119530 - 169097,2898,1,1,2770.190962098748059,47.198967135815444,51.810982216361126,37.165180666697481,
2769,119531 - 169097,2899,1,1,3996.300148976692981,61.717917362979620,60.104934193395628,54.114714507903564,
2770,119532 - 169097,2900,1,1,1454.234946718843503,22.075406347038179,21.487199273810550,19.718358003288508,
2771,119534 - 169097,2902,1,1,549.100288125174188,11.794560860320891,11.457413093400774,6.943156550584822,
2772,119535 - 169097,2903,1,1,1496.015113567037133,22.676922209107630,23.686327642085317,20.578592174503072,
2773,119536 - 169097,2904,1,1,866.900459200356408,13.697459921444144,12.669614824470782,11.723692514550146,
2774,119537 - 169097,2905,1,1,1439.266291004675622,21.869428614403493,21.300485973338741,19.513049613700350,
2775,119538 - 169097,2906,1,1,1405.410709157623160,21.883319731721500,20.815568211176913,19.060896547876929,
2776,119540 - 169097,2908,1,1,1414.497067621106908,21.367467914364770,20.858631418209036,19.191018285632335,
2777,119541 - 169097,2909,1,1,829.574334890490263,13.050392525659960,12.025842883142881,11.224183321425105,
2778,119542 - 169097,2910,1,1,1047.432982287357163,15.866555040384030,16.695396642925520,14.188741602351023,
2779,119549 - 169097,2911,1,1,3788.388235565374544,58.130696236864580,53.821243604690956,51.362343987252444,
2780,119550 - 169097,2912,1,1,3783.851978813479946,57.897452622853436,53.236418488782952,51.316374827464017,
2781,119551 - 169097,2913,1,1,3975.322184599230241,61.271540239329084,59.793550870456741,53.832030624331900,
2782,119553 - 169097,2914,1,1,2078.361778396624686,34.092317771050006,32.679903173193843,28.033310014373750,
